"Metric","Value"
"dc_sis","0.06 (0.01)"
"pc","12.84 (0.99)"
"sis","0.00 (0.01)"
"wd","7.71 (0.20)"
"fs_a05","8.63 (0.17)"
"fs_a075","8.75 (0.18)"
"KCQD_a05","109.18 (2.18)"
"KCQD_a075","108.89 (1.67)"
"qa_a05","4.91 (0.11)"
"qa_a075","4.91 (0.10)"
"qc_a05","0.04 (0.02)"
"qc_a075","0.04 (0.02)"
