"Metric","Value"
"dc_sis","36.50 (197.25)"
"pc","6.00 (1.00)"
"sis","178.00 (671.25)"
"wd","6.00 (0.25)"
"fs_a05","6.00 (2.00)"
"fs_a075","7.00 (3.00)"
"KCQD_a05","10.00 (14.00)"
"KCQD_a075","19.50 (64.75)"
"qa_a05","6.00 (1.00)"
"qa_a075","6.00 (1.00)"
"qc_a05","344.00 (862.50)"
"qc_a075","7.00 (1.00)"
