"Metric","Value"
"dc_sis","0.21 (0.02)"
"pc","9.02 (1.42)"
"sis","0.01 (0.02)"
"wd","15.48 (0.65)"
"fs_a05","19.00 (0.37)"
"fs_a075","19.53 (0.42)"
"KCQD_a05","90.04 (1.81)"
"KCQD_a075","89.68 (1.77)"
"qa_a05","4.71 (0.12)"
"qa_a075","4.73 (0.09)"
"qc_a05","0.11 (0.00)"
"qc_a075","0.11 (0.01)"
