"Metric","Value"
"fs_time","6.45 (0.12)"
"sis_time","0.00 (0.00)"
"dc_sis_time","0.05 (0.02)"
"qa_time","3.89 (0.13)"
"qc_time","0.03 (0.01)"
"KCQD_time","90.84 (2.31)"
"pc_time",NA
"wd_time","5.39 (0.30)"
