"Metric","Value"
"fs_time","21.93 (1.72)"
"sis_time","0.00 (0.01)"
"dc_sis_time","0.22 (0.02)"
"qa_time","4.93 (0.10)"
"qc_time","0.12 (0.03)"
"KCQD_time","93.02 (4.78)"
"pc_time",NA
"wd_time","17.15 (1.95)"
