"Metric","Value"
"fs_result","2.00 (0.00)"
"sis_result","197.50 (405.50)"
"dc_sis_result","157.50 (265.25)"
"qa_result","6.00 (2.00)"
"qc_result","3.00 (5.25)"
"KCQD_result","19.50 (32.00)"
"pc_result","7.00 (1.00)"
"wd_result","7.00 (0.00)"
