"Metric","Value"
"fs_result","2.00 (1.25)"
"sis_result","980.50 (2109.75)"
"dc_sis_result","682.00 (1341.00)"
"qa_result","34.00 (45.75)"
"qc_result","2.00 (2.00)"
"KCQD_result","210.00 (4928.25)"
"pc_result",NA
"wd_result","7.00 (0.00)"
