"Metric","Value"
"fs_time","5.96 (0.25)"
"sis_time","0.00 (0.00)"
"dc_sis_time","0.04 (0.02)"
"qa_time","3.64 (0.12)"
"qc_time","0.03 (0.01)"
"KCQD_time","85.80 (2.55)"
"pc_time","10.65 (11.95)"
"wd_time","4.96 (0.32)"
