"Metric","Value"
"fs_result","2.00 (0.00)"
"sis_result","194.00 (348.50)"
"dc_sis_result","164.50 (298.50)"
"qa_result","11.00 (9.50)"
"qc_result","2.00 (1.00)"
"KCQD_result","39.00 (114.75)"
"pc_result",NA
"wd_result","7.00 (0.25)"
