"Metric","Value"
"fs_result","2.00 (0.00)"
"sis_result","939.00 (1705.25)"
"dc_sis_result","765.50 (1296.25)"
"qa_result","7.00 (2.00)"
"qc_result","5.00 (38.25)"
"KCQD_result","385.00 (4917.75)"
"pc_result",NA
"wd_result","7.00 (0.00)"
