"Metric","Value"
"fs_time","19.01 (0.38)"
"sis_time","0.01 (0.02)"
"dc_sis_time","0.22 (0.02)"
"qa_time","4.72 (0.08)"
"qc_time","0.11 (0.01)"
"KCQD_time","91.58 (5.75)"
"pc_time",NA
"wd_time","14.86 (0.72)"
