"Metric","Value"
"fs_result","8.00 (4.25)"
"sis_result","490.50 (863.50)"
"dc_sis_result","167.00 (492.00)"
"qa_result","7.00 (2.00)"
"qc_result","7.00 (1.00)"
"KCQD_result","20.00 (50.25)"
"pc_result","7.00 (1.00)"
"wd_result","7.00 (0.00)"
