"Metric","Value"
"fs_result","7.00 (1.00)"
"sis_result","39.00 (83.50)"
"dc_sis_result","11.00 (36.00)"
"qa_result","7.00 (1.00)"
"qc_result","12.00 (11.25)"
"KCQD_result","8.00 (4.00)"
"pc_result","7.00 (2.00)"
"wd_result","7.00 (1.00)"
