"Metric","Value"
"fs_time","19.01 (0.70)"
"sis_time","0.01 (0.02)"
"dc_sis_time","0.22 (0.01)"
"qa_time","4.82 (0.25)"
"qc_time","0.11 (0.02)"
"KCQD_time","91.02 (2.41)"
"pc_time","10.12 (3.10)"
"wd_time","15.20 (1.08)"
