"Metric","Value"
"fs_time","6.13 (0.30)"
"sis_time","0.00 (0.00)"
"dc_sis_time","0.05 (0.02)"
"qa_time","3.75 (0.17)"
"qc_time","0.03 (0.01)"
"KCQD_time","88.28 (1.71)"
"pc_time","10.15 (0.88)"
"wd_time","5.12 (0.35)"
