"Metric","Value"
"fs_time","19.54 (2.10)"
"sis_time","0.01 (0.02)"
"dc_sis_time","0.21 (0.02)"
"qa_time","4.87 (0.21)"
"qc_time","0.11 (0.02)"
"KCQD_time","93.12 (3.22)"
"pc_time","10.07 (3.89)"
"wd_time","15.16 (0.71)"
