"Metric","Value"
"fs_result","7.50 (2.00)"
"sis_result","66.00 (109.50)"
"dc_sis_result","20.00 (55.00)"
"qa_result","7.00 (1.00)"
"qc_result","7.00 (1.00)"
"KCQD_result","13.50 (14.25)"
"pc_result","7.00 (1.00)"
"wd_result","7.00 (0.00)"
