"Metric","Value"
"fs_time","6.64 (0.20)"
"sis_time","0.00 (0.00)"
"dc_sis_time","0.09 (0.03)"
"qa_time","4.05 (0.16)"
"qc_time","0.04 (0.02)"
"KCQD_time","92.28 (2.67)"
"pc_time","10.78 (0.68)"
"wd_time","5.45 (0.28)"
