"Metric","Value"
"fs_result","7.00 (1.00)"
"sis_result","249.00 (708.75)"
"dc_sis_result","70.50 (311.50)"
"qa_result","7.00 (1.00)"
"qc_result","21.50 (85.50)"
"KCQD_result","9.50 (12.25)"
"pc_result","7.00 (2.00)"
"wd_result","7.00 (0.00)"
